问,答
研究生新生因故不能按期入学怎么办？,应当向学校请假，假期不得超过2周，未请假或请假逾期的除不可抗力原因外视为放弃入学资格。
除参军入伍外，申请保留入学资格的时间有什么要求？,新生可以申请保留入学资格，每次时间不超过1年，累计不超过2年。
研究生在每学期开学时办理注册手续的方式有哪些？ ,研究生在学期间，每学期开学时应当按学校规定办理注册手续，包括学期电子注册、研究生证注册。
哪些情况属于研究生的正常注册？ ,研究生以下情况均视为正常注册：（一）到校学习；（二）经学校批准出境学习或交流；（三）经导师批准赴外地学习或交流；（四）校外导师联合培养；（五）按学校教学计划安排在外实习或学习；（六）在职人员回原单位培养。
研究生不能如期注册，从开学日起请假2 周以上或不满足其他注册必要条件的，应如何处理？,应当履行暂缓注册手续，提交《研究生暂缓注册申请表》，经导师或班主任、培养单位分管领导书面同意，交研究生院审批后生效。
我校研究生的基本学习年限是多少？,我校硕士研究生基本学习年限为 2-3 年（年限计算截至每年 8 月 31 日，下同），最短学习年限为2年，最长学习年限为 5 年。博士研究生基本学习年限为 3-4 年，最短学习年限为 2 年，最长学习年限为 8 年。直博生基本学习年限为 5-6 年，最短学习年限为 4 年，最长学习年限为 8 年。
课程考核不合格的研究生可以怎样做？,可以在最长学习年限内再次选修该门课程（重修）， 并进行考核（重考）。重考成绩合格后，记入成绩册，并标注为重考。
有哪些情况下，研究生不得申请转学？ ,研究生有下列情形之一，不得转学：（一）入学未满一学期或者毕业前一年的；（二）由低学历层次转为高学历层次的；（三）以定向就业招生录取的；（四）研究生拟转入学校、专业的录取控制标准高于其所在学校、专业的；（五）无正当转学理由的。
哪些情况下，研究生可以申请休学？,研究生有下列情况之一者，可以申请休学：（一）创业；（二）支教；（三）在职研究生单位工作需要；（四）已婚女研究生符合国家计生政策生育；（五）其他原因不能正常在校学习者。
研究生因健康原因不宜在校学习应如何处理？,经指定医院诊断确需休养的，应办理休学手续。
退学的研究生应当在学校批准或退学处理决定书送达之日起多久内办结离校手续？,2周。
哪些情况下，学校可按程序予以退学处理？,"研究生有下列情形之一，学校可按程序予以退学处理。
（一）经考核不宜继续攻读硕士学位或博士学位的；（二）超过学校规定的最长学习年限未完成学业的；（三）休学、保留学籍期满，在期满前未提出复学申请或者申请复学经复查不合格的；休学、保留学籍累计时间已达到 2 年，未提出复学申请或者申请复学经复查不合格的；（四）根据学校指定医院诊断，患有疾病或者意外伤残不能继续在校学习的；（五）未经批准连续 2 周未参加学校规定的教学活动的；（六）超过学校规定期限未注册而又未履行暂缓注册手续的。"
研究生完成培养计划规定内容但毕业论文答辩未通过怎么办？,研究生在最长学习年限内，修完培养计划规定内容，但毕业论文答辩未通过，学校准予结业，发给结业证书。 研究生可以分阶段完成学业，在最长学习年限内，可以先结业再毕业，或先毕业再申请学位。研究生结业后可以重修或者补做毕业设计、论文、答辩，符合相应条件后，学校颁发毕业证书、学位证书，合格后颁发的毕业证书、学位证书，毕业时间、获得学位时间按发证日期填写。
研究生申请提前毕业的条件是什么？,研究生（硕博连读生自博士入学之日起计算）在校学习时间满 2 年，直博生在校学习时间满 4 年，提前完成培养计划规定内容，获得毕业所要求的学分，达到提前答辩申请学位要求的，经学院批准，研究生院审核，可以申请提前毕业。
研究生在校学习超过基本学习年限但未达到最长年限的会有哪些影响？ ,不额外缴纳学费，但不参与学业奖评选，不享受基本助学金及助研助教岗位酬金待遇，其他奖助学金以评选要求为准。
研究生能否在校期间更改个人身份信息？ ,在有合理、充分的理由，并提供有法定效力的相应证明文件情况下，经学校审核确认，上报所在地省级教育行政部门审核确认后，方予更改，学信网保留更改前的信息。
研究生申请复学的流程是什么？,研究生申请复学，应在休学期满前提交《研究生复学、恢复学籍申请表》，附事由证明材料，经导师、培养单位分管领导书面同意，报研究生院审批，方可办理复学手续。因病休学者申请复学，应提交学校指定医院诊断证明。
严重违反考核纪律或者作弊的研究生如何处理？ ,该课程考核成绩记为无效，并视其违纪或者作弊情节，按学校有关规定，予以纪律处分。
对违反国家招生规定取得入学资格或学籍的研究生如何处理？ ,学校取消其学籍，不发学历、学位证书，已发的学历证书、学位证书，学校依法予以撤销。
学历证书和学位证书遗失或者损坏应该如何处理？ ,学历证书和学位证书遗失或者损坏，经本人申请，学校核实后出具相应的证明书。证明书与原证书具有同等效力。
