query,answer,LLM_answer
研究生新生因故不能按期入学怎么办？,应当向学校请假，假期不得超过2周，未请假或请假逾期的除不可抗力原因外视为放弃入学资格。,研究生新生因故不能按期入学，应当向学校请假。请假时间不得超过2周。未请假或请假逾期者，除因不可抗力等正当事由以外，视为放弃入学资格。
除参军入伍外，申请保留入学资格的时间有什么要求？,新生可以申请保留入学资格，每次时间不超过1年，累计不超过2年。,根据提供的上下文信息，除参军入伍外，申请保留入学资格的时间要求是每次不超过1年，累计时间不超过2年。这意味着在满足其他条件的前提下，学生可以申请保留入学资格一次或多次，每次的持续时间不超过1年，但总的保留期限不得超过2年。
研究生在每学期开学时办理注册手续的方式有哪些？ ,研究生在学期间，每学期开学时应当按学校规定办理注册手续，包括学期电子注册、研究生证注册。,"- 学期电子注册：在每学期开学时，研究生需要使用学校指定的电子系统进行学期电子注册。
- 研究生证注册：除了电子注册外，研究生还需要在每学期开学时通过学校规定的程序完成研究生证的注册。"
哪些情况属于研究生的正常注册？ ,研究生以下情况均视为正常注册：（一）到校学习；（二）经学校批准出境学习或交流；（三）经导师批准赴外地学习或交流；（四）校外导师联合培养；（五）按学校教学计划安排在外实习或学习；（六）在职人员回原单位培养。,"研究生的正常注册情况包括：  
（一）到校学习；  
（二）经学校批准出境学习或交流；  
（三）经导师批准赴外地学习或交流；  
（四）校外导师联合培养；  
（五）按学校教学计划安排在外实习或学习；  
（六）在职人员回原单位培养。"
研究生不能如期注册，从开学日起请假2 周以上或不满足其他注册必要条件的，应如何处理？,应当履行暂缓注册手续，提交《研究生暂缓注册申请表》，经导师或班主任、培养单位分管领导书面同意，交研究生院审批后生效。,"- 研究生不能如期注册，从开学日起请假2周以上或不满足其他注册必要条件的，应当履行暂缓注册手续。
   - 提交《研究生暂缓注册申请表》，经导师或班主任、培养单位分管领导书面同意后，交研究生院审批生效。
   - 暂缓注册期间视为未注册，不享有在校生的各项待遇。"
我校研究生的基本学习年限是多少？,我校硕士研究生基本学习年限为 2-3 年（年限计算截至每年 8 月 31 日，下同），最短学习年限为2年，最长学习年限为 5 年。博士研究生基本学习年限为 3-4 年，最短学习年限为 2 年，最长学习年限为 8 年。直博生基本学习年限为 5-6 年，最短学习年限为 4 年，最长学习年限为 8 年。,根据所提供的上下文，我校硕士研究生的基本学习年限为2-3年。博士研究生的基本学习年限为3-4年。直博生的基本学习年限为5-6年。
课程考核不合格的研究生可以怎样做？,可以在最长学习年限内再次选修该门课程（重修）， 并进行考核（重考）。重考成绩合格后，记入成绩册，并标注为重考。,课程考核不合格的研究生，在最长学习年限内，可以选择再次选修该课程（重修），并进行考核（重考）。如果重考成绩合格，则其成绩会被记入成绩册，并标注为“重考”。
有哪些情况下，研究生不得申请转学？ ,研究生有下列情形之一，不得转学：（一）入学未满一学期或者毕业前一年的；（二）由低学历层次转为高学历层次的；（三）以定向就业招生录取的；（四）研究生拟转入学校、专业的录取控制标准高于其所在学校、专业的；（五）无正当转学理由的。,"- 入学未满一学期或者毕业前一年的；
- 由低学历层次转为高学历层次的；
- 以定向就业招生录取的；
- 研究生拟转入学校、专业的录取控制标准高于其所在学校、专业的；
- 无正当转学理由的。"
哪些情况下，研究生可以申请休学？,研究生有下列情况之一者，可以申请休学：（一）创业；（二）支教；（三）在职研究生单位工作需要；（四）已婚女研究生符合国家计生政策生育；（五）其他原因不能正常在校学习者。,"研究生可以申请休学的情况包括：

1. 创业；
2. 支教；
3. 在职研究生单位工作需要；
4. 已婚女研究生符合国家计生政策生育。"
研究生因健康原因不宜在校学习应如何处理？,经指定医院诊断确需休养的，应办理休学手续。,- 因健康原因不宜在校学习，经学校指定医院诊断确需休养的；
